Classname,Code,Credits,Length,Prereq
Band Level 2,N72,10,2,N71/At least 3 years of study of a band instrument or appropriate experience or permission of instructor
Band Level 3,N73,10,2,N72/At least 3 years of study of a band instrument or appropriate experience or permission of instructor
Jazz Band 1,N75,10,2,N/A
Jazz Band 2,N76,10,2,N75/At least 3 years of study of a jazz band instrument of approval of instructor
Jazz Band 3,N77,10,2,N76/Appropriate experience in playing in a jazz band or permission of instructor
Orchestra Level 1,N81,10,2,N/A
Chamber Orchestra,N86,10,2,Appropriate playing level on an orchestra stringed instrument and approval of the orchestra teacher
Algebra 1,M31,10,2,N/A
Problem Solving,M39,5,1,N/A
Geometry,M41,10,2,M31/M35
Geometry Advanced,M43,10,2,M31/M35
Algebra 2,M51,10,2,M41/M43
Algebra 2 Advanced,M55,10,2,M41/M43
Discrete Math,M58,5,1,N/A
Pre-Calculus,M61,10,2,M51/M55
AP Pre-Calculus,M71,10,2,M51/M55
AP Calculus AB,M65,10,2,M61/M71
AP Calculus BC,M66,10,2,M61/M71
Statistics,M67,5,1,N/A
AP Statistics,M69,10,2,M51/M55
Calculus 2,M87,5,1,M66
Calculus 3,M88,5,1,M87
Wellness in Action,P20,5,1,N/A
Fitness,P23,5,1,N/A
Weight Training 1,P24,5,1,N/A
Weight Training 2,P25,5,1,P24
Training for Performance,P27,5,1,N/A
Bowling and Recreational Games,P30,5,1,N/A
Yoga,P32,5,1,N/A
Aerobic Walking,P44,5,1,N/A
Racquet Sports,P54,5,1,N/A
Team Sports,P70,5,1,N/A
Introduction to Engineering Design,PA1,5,1,N/A
PLTW Computer Integrated Manufacturing,PA3,5,1,N/A
PLTW Engineering Design and Development,PA6,5,1,N/A
Introduction to Aviation and Aerospace A,V140,5,1,N/A
Introduction to Aviation and Aerospace B,V141,5,1,V140
Aerodynamics,V142,5,1,N/A
Principles of Flight,V145,5,1,N/A
Aviation Weather,V153,5,1,V142&V145
Advanced Flight,V154,5,1,V142&V145
Introduction to Health Science,V408,5,1,N/A
Capstone: Coding A,V76,5,1,D78
Capstone: Coding B,V78,5,1,V76
Office Assistant,X22,5,1,Placement by permission of appropriate office staff or teacher
Technology Assistant,X25,5,1,N/A
Academic Assistant,X32,5,1,N/A
Student Council,X61,5,1,N/A
Physical Science,S10,10,2,N/A
Earth Space Geophysical,S16,10,2,N/A
Advanced Physical Science,S20,10,2,N/A
Biology,S31,10,2,N/A
Marine Biology,S36,10,2,N/A
Advanced Biology,S37,10,2,N/A
Chemistry Advanced,S51,10,2,S10/S20
Anatomy & Physiology Advanced,S52,10,2,N/A
Physics Advanced,S63,10,2,M31/M41/S10
AP Chemistry,S66,10,2,M51/M55
AP Biology,S68,10,2,S31/S37
AP Environmental Science,S69,10,2,M31/S10/S31
AP Physics C,S70,10,2,M61/M65
Science Research Seminar,S98,10,2,S10/S20/S31/S37
Understanding Diversity,C72,5,1,N/A
US History,T21,10,2,N/A
US Government,T37,5,1,N/A
AP US History,T38,10,2,N/A
World History,T41,10,2,N/A
AP World History,T54,10,2,N/A
World Geography,T60,5,1,N/A
Current World Affairs,T66,5,1,N/A
AP Human Geography,T68,5,1,N/A
Economics,T74,5,1,N/A
Psychology,T80,5,1,N/A
AP Psychology,T81,5,1,N/A
Sociology,T84,5,1,N/A
AP European History,T85,10,2,N/A
AP US Government and Politics,T87,5,1,N/A
Principles of Criminal Law,V105,5,1,N/A
Digital Art and Design 1,A110,5,1,N/A
Digital Art and Design 2,A111,5,1,A110
Digital Art and Design 3,A112,5,1,A111
Drawing and Painting 1,A41,5,1,N/A
Drawing and Painting 2,A42,5,1,A41
Drawing and Painting 3,A43,5,1,A42
Drawing and Painting 4,A44,5,1,A43
Pottery and Sculpture 1,A61,5,1,N/A
Pottery and Sculpture 2,A62,5,1,A61
Pottery and Sculpture 3,A63,5,1,A62
Pottery and Sculpture 4,A64,5,1,A63
Photography 1,A71,5,1,N/A
Photography 2,A72,5,1,A71
Photography 3,A73,5,1,A72
Photography 4,A74,5,1,A73
Portfolio Arts 1,A80,5,1,A42/A56/A62/A72
Portfolio Arts 2,A82,5,1,Highly Succesful Completion of 2 Years of any art course
Art of Animation,A93,5,1,N/A
American Sign Language 1,F98,10,2,N/A
American Sign Language 2,F99,10,2,F98
American Sign Language 3,F104,10,2,F99
American Sign Language 4,F105,10,2,F104
French 1,F11,10,2,N/A
French 2,F12,10,2,F11
French 3,F13,10,2,F12
French 4,F19,10,2,F13
AP French,F26,10,2,N/A
German 1,F31,10,2,N/A
German 2,F32,10,2,F31
German 3,F33,10,2,F32
German 4,F39,10,2,F33
AP German,F46,10,2,N/A
German 3 Advanced,F47,10,2,F31
Spanish 1,F71,10,2,N/A
Spanish 2,F72,10,2,F71
Spanish 3,F73,10,2,F72
Spanish 4,F79,10,2,F73
AP Spanish 5,F85,10,2,F79
Spanish Conversation and Composition,F88,10,2,N/A
